"likesCount","timestamp","commentsCount","videoViewCount","videoDuration"
"775123","2019-10-31T13:33:18.000Z","2621","6572015","7.6"
"903872","2019-09-27T14:56:59.000Z","5952","7250718","16.1"
"854543","2019-10-25T19:15:21.000Z","3047","5829596","21.866"
"1242864","2019-10-19T14:17:20.000Z","8940","9403444","11.7"
"702661","2019-08-28T12:58:36.000Z","2345","6387488","20.866"
"585732","2019-09-19T13:29:28.000Z","5727","4818593","32.566"
"1015413","2019-10-30T14:11:24.000Z","2813","8080128","19.533"
"487243","2019-09-22T11:55:16.000Z","810","3988576","29.6"
"882312","2019-10-16T14:41:38.000Z","3491","7540571","26"
"970011","2019-10-31T16:38:38.000Z","1619",,
"663291","2019-10-27T14:31:02.000Z","2154","5343410","17.533"
"783369","2019-11-09T15:12:56.000Z","3394","6022162","28.066"
"716898","2019-09-09T11:51:05.000Z","6729","5157505","16"
"396333","2019-07-17T13:23:07.000Z","1060","4494415","255.5"
"985119","2019-08-06T13:51:42.000Z","3607","6427197","35.3"
"1222516","2019-07-09T12:52:28.000Z","6929","8392155","14.333"
"1567243","2019-10-08T17:07:54.000Z","15580","8836663","59.933"
"1029246","2019-07-18T19:12:49.000Z","5185","8173851","21.9"
"777580","2019-07-08T15:49:21.000Z","18759","4648336","431"
"824154","2019-09-24T13:03:15.000Z","2435","6463122","32.166"
"928025","2019-08-08T17:55:19.000Z","4178",,
"1123234","2019-08-22T11:05:28.000Z","6931","7176800","28.066"
"933209","2019-07-04T12:09:52.000Z","3547","7757833","10.1"
"484062","2019-04-03T16:03:55.000Z","1774","5815314","20.1"
"719452","2020-01-28T15:21:16.000Z","2092","7149528","9.4"
"1481140","2019-04-18T17:38:02.000Z","7371",,
"722930","2019-05-28T14:46:25.000Z","2583","8301585","11.166"
"1159817","2019-08-15T17:54:57.000Z","4841","10004521","53.733"
"797754","2019-07-31T13:42:16.000Z","3366","5876830","23.933"
"718432","2019-03-28T14:04:03.000Z","8158",,
"741534","2019-06-28T20:02:33.000Z","2427","7085964","27.2"
"660576","2019-06-25T13:19:11.000Z","2265","5651116","24.566"
"483675","2019-06-18T23:06:49.000Z","1552","4405987","30.7"
"677746","2019-03-26T19:11:14.000Z","6766",,
"453951","2019-05-06T12:17:08.000Z","1284",,
"991341","2019-09-04T17:08:03.000Z","3836","6758243","24"
"1284094","2019-03-14T14:13:30.000Z","6423","9611669","29.336"
"511977","2019-05-15T22:17:09.000Z","1574","4844116","30.133"
"1026337","2019-01-16T19:36:50.000Z","5488","11121634","11.333"
"307801","2018-12-20T04:05:39.000Z","726","2668942","56.906"
"457279","2019-02-04T21:23:05.000Z","958",,
"883622","2019-01-23T21:52:35.000Z","2802","8290348","17.935"
"665515","2019-02-16T15:48:24.000Z","2097","5294461","50.605"
"488095","2018-12-22T14:20:16.000Z","1511","5498963","26.467"
"977806","2018-12-27T20:20:06.000Z","2123",,
"707089","2019-02-05T15:42:03.000Z","2577","5142205","16.333"
"453185","2019-01-04T17:31:17.000Z","1411","4316956","14.034"
"901524","2019-02-14T18:57:30.000Z","2506","7163651","21.066"
"738927","2019-01-08T23:45:20.000Z","3021","7036559","18.266"
"972392","2019-07-11T16:21:39.000Z","2998","8656446","60.033"
"720092","2018-09-19T16:43:09.000Z","2913","6800140","17.067"
"1163587","2018-11-23T17:24:55.000Z","5533","11421636","27.668"
"552144","2018-09-14T13:11:33.000Z","1862","4177075","59.874"
"881158","2018-10-31T14:25:46.000Z","2877","10414574","17.401"
"690019","2018-07-28T17:10:37.000Z","2661","7201114","59.366"
"447976","2018-11-21T19:27:34.000Z","1475","3127780","59.874"
"1335311","2018-08-22T14:01:24.000Z","10119",,
"585879","2018-12-15T14:07:43.000Z","2553","5159522","59.907"
"907145","2018-09-29T20:08:50.000Z","4066","6275044","59.874"
"922226","2018-10-25T14:57:14.000Z","10912","8002642","14.866"
"682026","2018-11-01T02:36:40.000Z","909",,
"1045002","2019-07-02T21:45:03.000Z","4260","6694484","22.1"
"1553183","2018-06-17T22:19:57.000Z","22028",,
"845528","2018-04-24T17:49:09.000Z","3552","6706279","17.233"
"804255","2018-02-02T16:32:47.000Z","3450","6905130","20.666"
"1269446","2018-01-24T00:51:45.000Z","30994","10268525","28.733"
"448297","2018-11-09T17:38:07.000Z","3724",,
"1731263","2018-02-14T17:27:05.000Z","5003","9301547","57.666"
"689537","2018-07-02T21:04:00.000Z","12991","5092035","44.433"
"899892","2018-03-06T23:58:51.000Z","4956","7288434","14.433"
"920366","2018-04-09T15:08:35.000Z","4870","7482808","22.866"
"1133752","2018-07-08T16:07:18.000Z","11281","9582791","20.8"
"2078571","2017-10-10T14:50:27.000Z","5868","9973880","35"
"1310555","2017-11-28T14:49:54.000Z","12804","8987385","55.166"
"957064","2017-12-05T14:14:50.000Z","4751","7904135","59.2"
"860935","2018-05-28T17:00:38.000Z","14651","6596019","30.033"
"743779","2017-11-23T18:51:47.000Z","4531","8370460","19.833"
"890175","2017-12-12T18:53:32.000Z","5711","9417897","20.166"
"969774","2017-10-27T12:23:06.000Z","9370","6429572","60"
"751037","2017-09-14T18:02:26.000Z","2127","6692141","15.3"
"536968","2017-09-26T16:19:02.000Z","2561","4348337","25.233"
"902755","2019-04-22T15:07:19.000Z","3663","8987393","14.833"
"1223699","2018-03-30T16:21:09.000Z","6783","9404910","46.133"
"689696","2017-10-07T12:07:33.000Z","1747","5990970","23.266"
"1047755","2017-09-05T14:14:22.000Z","4743","8048803","22.266"
"1172717","2017-11-10T20:14:05.000Z","5427","9096122","27.333"
"878519","2018-05-15T13:13:17.000Z","4106","5247236","59.866"
"1322783","2017-08-21T12:25:29.000Z","10541","7263587","22.1"
"929199","2017-06-23T15:01:52.000Z","4086","8496672","23.133"
"1013436","2017-05-17T19:51:30.000Z","5213","8464178","24.233"
"947405","2017-08-06T14:44:26.000Z","6149","7513246","17.266"
"950259","2017-04-28T15:11:53.000Z","5482",,
"818422","2019-04-15T17:16:47.000Z","2685","7277849","44.269"
"849389","2017-07-24T14:42:20.000Z","5165","8639007","11.7"
"898182","2017-06-05T12:47:25.000Z","2553","7412182","25.766"
"576864","2017-06-07T13:35:52.000Z","3068",,
"1401049","2017-05-10T13:55:50.000Z","7242","7817663","33.166"
"945093","2017-06-12T08:18:53.000Z","8699","9562577","14.266"
"1101725","2017-06-27T12:06:43.000Z","10081",,
"814696","2017-05-02T17:18:24.000Z","3909","7952445","24.057"
"1288990","2017-07-14T08:16:28.000Z","9965","36006935","23.8"
"956041","2017-02-14T16:03:55.000Z","4762","8800689","17.65"
"1270320","2017-03-31T21:00:47.000Z","6790","9003505","21.554"
"1193725","2017-03-25T12:08:03.000Z","8640","9206978","21.254"
"1216790","2017-03-17T22:37:44.000Z","6626","9137673","19.019"
"919622","2017-04-21T13:01:36.000Z","6941","7659233","21.388"
"919990","2017-01-19T16:28:05.000Z","4216","8605483","10.01"
"879046","2017-01-08T16:48:59.000Z","3273","8586574","20.42"
"1000564","2017-03-02T15:35:34.000Z","12368","8974045","21.388"
"796845","2017-03-09T13:42:01.000Z","10187","8442907","19.686"
"1054051","2016-10-29T14:27:29.000Z","4912","8889456","22.756"
"912958","2016-12-20T14:36:57.000Z","8266","7569456","26.593"
"1158762","2016-11-14T16:41:56.000Z","6796","8730283","18.518"
